City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
45,rio preto da eva,-2.6994,-59.6997,24.17,98,100,0.31,BR,1713667069
46,port-aux-francais,-49.35,70.2167,8.57,96,99,17.1,TF,1713667069
47,hotan,37.0997,79.9269,20.01,21,67,1.22,CN,1713667066
48,iqaluit,63.7506,-68.5145,-7.15,62,100,7.72,CA,1713666794
49,tosontsengel,48.7567,98.2839,-0.08,60,69,6.21,MN,1713667070
50,margaret river,-33.95,115.0667,23.03,41,10,2.74,AU,1713666891
51,nago,26.5881,127.9761,29.24,76,22,5.4,JP,1713666818
52,rongelap,11.1635,166.8941,27.82,75,70,7.65,MH,1713667070
53,albany,42.6001,-73.9662,5.32,59,0,0.45,US,1713667071
54,hakha,22.65,93.6167,25.42,36,12,2.01,MM,1713667071
55,merizo village,13.2658,144.6691,33.31,78,98,7.19,GU,1713667071
56,fort bragg,35.139,-79.006,21.91,83,100,1.54,US,1713667071
57,wailua homesteads,22.0669,-159.378,27.24,75,0,6.69,US,1713667072
58,keelakarai,9.2333,78.7833,31.27,67,99,2.22,IN,1713667072
59,chonchi,-42.6128,-73.8092,7.84,96,12,1.15,CL,1713667072
60,bredy,52.4153,60.3411,18.52,54,3,1.75,RU,1713667072
61,lagoa,39.05,-27.9833,16.19,88,8,5.94,PT,1713667072
62,kharp,66.8014,65.8081,-14.6,94,100,2.78,RU,1713667073
63,nadym,65.5333,72.5167,-10.02,95,100,5.45,RU,1713667073
64,port douglas,-16.4833,145.4667,25.51,85,96,5.17,AU,1713667074
65,albisola superiore,44.3389,8.5105,11.92,68,4,3.24,IT,1713667074
66,cabo san lucas,22.8909,-109.9124,29.17,26,0,3.09,MX,1713666949
67,papatowai,-46.5619,169.4708,12.58,78,87,4.3,NZ,1713667074
68,mata-utu,-13.2816,-176.1745,29.12,77,19,7.0,WF,1713667074
69,atafu village,-8.5421,-172.5159,29.81,74,14,5.45,TK,1713667075
70,margate,51.3813,1.3862,5.94,73,26,4.02,GB,1713667075
71,franklin,39.9667,-83.0166,9.02,53,75,4.63,US,1713667075
72,santa elena de uairen,4.6167,-61.1333,21.66,84,91,1.4,VE,1713667076
73,kangding,30.0513,101.9603,10.06,90,98,1.16,CN,1713667076
74,katsuura,35.1333,140.3,20.27,70,100,2.03,JP,1713667076
75,tot'ma,59.9747,42.7642,2.86,92,97,1.81,RU,1713667076
76,newport,51.5877,-2.9984,7.51,83,14,4.34,GB,1713667076
77,ilha de mocambique,-15.0342,40.7358,25.8,72,61,6.66,MZ,1713667077
78,basco,20.4487,121.9702,27.95,84,0,8.06,PH,1713667077
79,hithadhoo,-0.6,73.0833,29.19,73,18,3.97,MV,1713667077
80,kavieng,-2.5744,150.7967,29.91,64,58,3.09,PG,1713667077
81,afif,23.9065,42.9172,19.99,19,0,4.89,SA,1713667078
82,qaqortoq,60.7167,-46.0333,-2.33,84,100,3.01,GL,1713667078
83,port lincoln,-34.7333,135.8667,17.14,63,7,2.65,AU,1713667078
84,ishigaki,24.3448,124.1572,30.07,79,40,7.72,JP,1713666791
85,west island,-12.1568,96.8225,28.99,79,75,6.69,CC,1713667078
86,ulladulla,-35.35,150.4667,22.09,57,27,2.94,AU,1713666847
87,edinburgh of the seven seas,-37.0676,-12.3116,14.07,61,100,1.61,SH,1713667079
88,dudinka,69.4058,86.1778,-16.6,93,91,1.45,RU,1713667079
89,nantong,32.0303,120.8747,16.25,76,100,2.84,CN,1713667079
90,yellowknife,62.456,-114.3525,4.29,60,20,2.57,CA,1713667079
91,vung tau,10.346,107.0843,29.96,64,35,4.32,VN,1713667080
92,haiku-pauwela,20.9219,-156.3051,25.12,69,40,8.75,US,1713667080
93,urmary,55.6789,47.944,7.36,70,19,4.66,RU,1713667080
94,petropavlovsk-kamchatsky,53.0452,158.6483,1.36,95,75,4.0,RU,1713667080
95,port saint john's,-31.6229,29.5448,21.01,86,81,2.44,ZA,1713667081
96,seorinarayan,21.7333,82.5833,37.66,18,29,2.67,IN,1713667081
97,port augusta,-32.5,137.7667,23.23,26,0,2.99,AU,1713666892
98,puerto natales,-51.7236,-72.4875,2.11,89,31,2.57,CL,1713667081
99,tiksi,71.6872,128.8694,-0.33,83,41,0.77,RU,1713667082
100,pacific grove,36.6177,-121.9166,17.44,64,0,3.09,US,1713667082
101,lospalos,-8.5186,127.0025,27.7,66,67,4.55,TL,1713667082
102,vilyuchinsk,52.9306,158.4028,2.18,85,100,3.35,RU,1713667083
103,smara,26.7384,-11.6719,15.35,81,0,5.52,EH,1713667083
104,talnakh,69.4865,88.3972,-15.28,94,90,2.38,RU,1713667083
